"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT3G16280","AP2/ERF-ERF","AT4G19220",0,1,0,0,0,0,0.969448137321921,1.96944813732192,"activation"
"AT5G54230","MYB","AT4G38080",0,1,0,0,0,0,0.969422974497477,1.96942297449748,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G08780",0,1,0,0,0,0,0.969402005477108,1.96940200547711,"repression"
"AT5G54230","MYB","AT5G56180",0,1,0,0,0,0,0.96939361786896,1.96939361786896,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G50450",0,1,0,0,0,0,0.969368455044517,1.96936845504452,"repression"
"AT5G54230","MYB","AT3G09940",0,1,0,0,0,0,0.969330710807852,1.96933071080785,"repression"
"AT3G16280","AP2/ERF-ERF","AT3G13672",0,1,0,0,0,0,0.969322323199705,1.9693223231997,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G03270",0,1,0,0,0,0,0.969292966571188,1.96929296657119,"repression"
"AT4G17900","PLATZ","AT1G02730",0,0,0,0,1,1,0.969129408212307,1.96912940821231,"repression"
"AT3G16280","AP2/ERF-ERF","AT1G05690",0,1,0,0,0,0,0.969062307347125,1.96906230734713,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G31070",0,1,0,0,0,0,0.968986818873796,1.9689868188738,"activation"
"AT5G54230","MYB","AT5G64530",0,1,0,0,0,0,0.968902942792319,1.96890294279232,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G16390",0,1,0,0,0,0,0.968835841927137,1.96883584192714,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G57450",0,1,0,0,0,0,0.968789710082324,1.96878971008232,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G53650",0,1,0,0,0,0,0.96878551627825,1.96878551627825,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G09800",0,1,0,0,0,0,0.968747772041586,1.96874777204159,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G37300",0,1,0,0,0,0,0.968701640196773,1.96870164019677,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G76140",0,1,0,0,0,0,0.96854646944604,1.96854646944604,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G51490",0,1,0,0,0,0,0.968533888033819,1.96853388803382,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G26100",0,1,0,0,0,0,0.96849194999308,1.96849194999308,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G49040",0,1,0,0,0,0,0.968366135870864,1.96836613587086,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G64790",0,1,0,0,0,0,0.968332585438273,1.96833258543827,"activation"
"AT5G54230","MYB","AT4G37320",0,1,0,0,0,0,0.9683283916342,1.9683283916342,"activation"
